DATE,EVENT
23/1/14,SCHOOL
24/1/14,SCHOOL
25/1/14,SCHOOL
26/1/14,SCHOOL
27/1/14,SCHOOL
14/4/14,SCHOOL
15/4/14,SCHOOL
16/4/14,SCHOOL
17/4/14,SCHOOL
18/4/14,SCHOOL
19/4/14,SCHOOL
20/4/14,SCHOOL
21/4/14,SCHOOL
22/4/14,SCHOOL
23/4/14,SCHOOL
24/4/14,SCHOOL
25/4/14,SCHOOL
7/7/14,SCHOOL
8/7/14,SCHOOL
9/7/14,SCHOOL
10/7/14,SCHOOL
11/7/14,SCHOOL
12/7/14,SCHOOL
13/7/14,SCHOOL
14/7/14,SCHOOL
15/7/14,SCHOOL
16/7/14,SCHOOL
17/7/14,SCHOOL
18/7/14,SCHOOL
29/9/14,SCHOOL
30/9/14,SCHOOL
1/10/14,SCHOOL
2/10/14,SCHOOL
3/10/14,SCHOOL
4/10/14,SCHOOL
5/10/14,SCHOOL
6/10/14,SCHOOL
7/10/14,SCHOOL
8/10/14,SCHOOL
9/10/14,SCHOOL
10/10/14,SCHOOL
15/12/14,SCHOOL
16/12/14,SCHOOL
17/12/14,SCHOOL
18/12/14,SCHOOL
19/12/14,SCHOOL
20/12/14,SCHOOL
21/12/14,SCHOOL
22/12/14,SCHOOL
23/12/14,SCHOOL
24/12/14,SCHOOL
25/12/14,SCHOOL
26/12/14,SCHOOL
27/12/14,SCHOOL
28/12/14,SCHOOL
29/12/14,SCHOOL
30/12/14,SCHOOL
31/12/14,SCHOOL
1/1/15,SCHOOL
2/1/15,SCHOOL
3/1/15,SCHOOL
4/1/15,SCHOOL
5/1/15,SCHOOL
6/1/15,SCHOOL
7/1/15,SCHOOL
8/1/15,SCHOOL
9/1/15,SCHOOL
10/1/15,SCHOOL
11/1/15,SCHOOL
12/1/15,SCHOOL
13/1/15,SCHOOL
14/1/15,SCHOOL
15/1/15,SCHOOL
16/1/15,SCHOOL
17/1/15,SCHOOL
18/1/15,SCHOOL
19/1/15,SCHOOL
20/1/15,SCHOOL
21/1/15,SCHOOL
22/1/15,SCHOOL
23/1/15,SCHOOL
24/1/15,SCHOOL
25/1/15,SCHOOL
26/1/15,SCHOOL
27/1/15,SCHOOL
13/4/15,SCHOOL
14/4/15,SCHOOL
15/4/15,SCHOOL
16/4/15,SCHOOL
17/4/15,SCHOOL
18/4/15,SCHOOL
19/4/15,SCHOOL
20/4/15,SCHOOL
21/4/15,SCHOOL
22/4/15,SCHOOL
23/4/15,SCHOOL
24/4/15,SCHOOL
6/7/15,SCHOOL
7/7/15,SCHOOL
8/7/15,SCHOOL
9/7/15,SCHOOL
10/7/15,SCHOOL
11/7/15,SCHOOL
12/7/15,SCHOOL
13/7/15,SCHOOL
14/7/15,SCHOOL
15/7/15,SCHOOL
16/7/15,SCHOOL
17/7/15,SCHOOL
28/9/15,SCHOOL
29/9/15,SCHOOL
30/9/15,SCHOOL
1/10/15,SCHOOL
2/10/15,SCHOOL
3/10/15,SCHOOL
4/10/15,SCHOOL
5/10/15,SCHOOL
6/10/15,SCHOOL
7/10/15,SCHOOL
8/10/15,SCHOOL
9/10/15,SCHOOL
14/12/15,SCHOOL
15/12/15,SCHOOL
16/12/15,SCHOOL
17/12/15,SCHOOL
18/12/15,SCHOOL
19/12/15,SCHOOL
20/12/15,SCHOOL
21/12/15,SCHOOL
22/12/15,SCHOOL
23/12/15,SCHOOL
24/12/15,SCHOOL
25/12/15,SCHOOL
26/12/15,SCHOOL
27/12/15,SCHOOL
28/12/15,SCHOOL
29/12/15,SCHOOL
30/12/15,SCHOOL
31/12/15,SCHOOL
1/1/16,SCHOOL
2/1/16,SCHOOL
3/1/16,SCHOOL
4/1/16,SCHOOL
5/1/16,SCHOOL
6/1/16,SCHOOL
7/1/16,SCHOOL
8/1/16,SCHOOL
9/1/16,SCHOOL
10/1/16,SCHOOL
11/1/16,SCHOOL
12/1/16,SCHOOL
13/1/16,SCHOOL
14/1/16,SCHOOL
15/1/16,SCHOOL
16/1/16,SCHOOL
17/1/16,SCHOOL
18/1/16,SCHOOL
19/1/16,SCHOOL
20/1/16,SCHOOL
21/1/16,SCHOOL
22/1/16,SCHOOL
23/1/16,SCHOOL
24/1/16,SCHOOL
25/1/16,SCHOOL
26/1/16,SCHOOL
27/1/16,SCHOOL
28/1/16,SCHOOL
29/1/16,SCHOOL
16/4/16,SCHOOL
17/4/16,SCHOOL
18/4/16,SCHOOL
19/4/16,SCHOOL
20/4/16,SCHOOL
